,ID,Netflix,HBO,Hulu,Title,Type (Movie or TV Show),IMDb Score,# of IMDb Votes,Release Year,Rating,Runtime (min),Genre(s),Production Country,# of Seasons,Actor/Director Name,Role
164,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,8.8,73424.0,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,Graham Chapman,ACTOR
165,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,8.8,73424.0,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,Michael Palin,ACTOR
166,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,8.8,73424.0,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,Terry Jones,ACTOR
167,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,8.8,73424.0,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,Eric Idle,ACTOR
168,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,8.8,73424.0,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,Terry Gilliam,ACTOR
568,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,8.9,308824.0,1989,TV-PG,24,['comedy'],['US'],9.0,Jerry Seinfeld,ACTOR
569,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,8.9,308824.0,1989,TV-PG,24,['comedy'],['US'],9.0,Jason Alexander,ACTOR
570,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,8.9,308824.0,1989,TV-PG,24,['comedy'],['US'],9.0,Michael Richards,ACTOR
571,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,8.9,308824.0,1989,TV-PG,24,['comedy'],['US'],9.0,Julia Louis-Dreyfus,ACTOR
1028,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,6.9,34115.0,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,David Hasselhoff,ACTOR
1029,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,6.9,34115.0,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,Edward Mulhare,ACTOR
1030,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,6.9,34115.0,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,William Daniels,ACTOR
1031,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,6.9,34115.0,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,Patricia McPherson,ACTOR
1032,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,6.9,34115.0,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,Peter Parros,ACTOR
1034,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,7.1,35034.0,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,Mark-Paul Gosselaar,ACTOR
1035,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,7.1,35034.0,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,Mario López,ACTOR
1036,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,7.1,35034.0,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,Dustin Diamond,ACTOR
1037,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,7.1,35034.0,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,Lark Voorhies,ACTOR
1038,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,7.1,35034.0,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,Dennis Haskins,ACTOR
1665,ts20981,1.0,0.0,0.0,Survivor,SHOW,7.4,24687.0,2000,TV-PG,48,['reality'],['US'],42.0,Jeff Probst,ACTOR
1721,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Ben Browder,ACTOR
1722,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Amanda Tapping,ACTOR
1723,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Christopher Judge,ACTOR
1724,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Michael Shanks,ACTOR
1725,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Claudia Black,ACTOR
1726,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,8.4,90196.0,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,Beau Bridges,ACTOR
2077,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Mayumi Tanaka,ACTOR
2078,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Kazuya Nakai,ACTOR
2079,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Akemi Okamura,ACTOR
2080,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Kappei Yamaguchi,ACTOR
2081,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Hiroaki Hirata,ACTOR
2082,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Yuriko Yamaguchi,ACTOR
2083,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Ikue Otani,ACTOR
2084,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Kazuki Yao,ACTOR
2085,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Cho,ACTOR
2086,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Katsuhisa Hôki,ACTOR
2087,ts20339,1.0,0.0,0.0,One Piece,SHOW,8.8,117129.0,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,Tesshou Genda,ACTOR
2207,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,8.9,115448.0,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1.0,Koichi Yamadera,ACTOR
2208,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,8.9,115448.0,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1.0,Unsho Ishizuka,ACTOR
2209,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,8.9,115448.0,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1.0,Megumi Hayashibara,ACTOR
2210,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,8.9,115448.0,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1.0,Aoi Tada,ACTOR
2393,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,8.5,66629.0,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,Megumi Ogata,ACTOR
2394,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,8.5,66629.0,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,Kotono Mitsuishi,ACTOR
